,Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Job Satisfaction Status,Age Bucket
2593,No,Travel_Frequently,25 - 34,Current Employees,Sales,Other,STAFF-2594,3002.0,Male,Sales Executive,Single,No,Y,3,31,1,715,2,Master's Degree,1,4,54,3,2,1,5332,21602,7,13,3,4,80,0,10,3,5,2,0,3,,
2594,No,Travel_Frequently,25 - 34,Current Employees,Sales,Marketing,STAFF-2595,3003.0,Male,Sales Executive,Single,No,Y,2,32,1,1318,10,Master's Degree,1,4,79,3,2,4,4648,26075,8,13,3,3,80,0,4,4,0,0,0,0,,
2595,No,Travel_Rarely,35 - 44,Current Employees,HR,Other,STAFF-2596,3004.0,Male,Human Resources,Divorced,No,Y,4,37,1,1239,8,Associates Degree,1,3,89,3,2,2,4071,12832,2,13,3,3,80,0,19,2,10,0,4,7,,
2596,No,Travel_Rarely,25 - 34,Current Employees,HR,Medical,STAFF-2597,3005.0,Male,Human Resources,Married,No,Y,3,29,1,352,6,High School,1,4,87,2,1,2,2804,15434,1,11,3,4,80,0,1,3,1,0,0,0,,
2597,No,Travel_Rarely,25 - 34,Current Employees,HR,Other,STAFF-2598,3006.0,Male,Human Resources,Single,No,Y,3,29,1,332,17,Bachelor's Degree,1,2,51,2,3,1,7988,9769,1,13,3,1,80,0,10,2,10,9,0,9,,
2598,No,Travel_Rarely,35 - 44,Current Employees,HR,Life Sciences,STAFF-2599,3007.0,Male,Human Resources,Single,No,Y,5,43,1,244,2,Bachelor's Degree,1,2,97,3,1,4,3539,5033,0,13,3,2,80,0,10,3,9,7,1,8,,
2599,No,Travel_Rarely,Over 55,Current Employees,R&D,Technical Degree,STAFF-2600,3008.0,Male,Research Scientist,Divorced,No,Y,1,55,1,1441,22,Bachelor's Degree,1,1,94,2,1,2,3537,23737,5,12,3,4,80,1,8,3,4,2,1,2,,
2600,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2601,3009.0,Male,Research Scientist,Divorced,No,Y,2,28,1,1423,1,Bachelor's Degree,1,1,72,2,1,3,1563,12530,1,14,3,4,80,1,1,1,1,0,0,0,,
2601,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2602,3010.0,Male,Manager,Divorced,No,Y,3,40,1,1137,1,Master's Degree,1,1,98,3,4,1,16823,18991,2,11,3,1,80,1,22,3,19,7,11,16,,
2602,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2603,3011.0,Male,Laboratory Technician,Divorced,No,Y,2,31,1,311,20,Bachelor's Degree,1,2,89,3,2,3,4197,18624,1,11,3,1,80,1,10,3,10,8,0,2,,
2603,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2604,3012.0,Male,Laboratory Technician,Divorced,No,Y,3,39,1,170,3,Associates Degree,1,3,76,2,2,3,3069,10302,0,15,3,4,80,1,11,3,10,8,0,7,,
2604,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2605,3013.0,Male,Research Scientist,Divorced,No,Y,3,40,1,896,2,Bachelor's Degree,1,3,68,3,1,3,2345,8045,2,14,3,3,80,1,8,4,3,1,1,2,,
2605,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2606,3014.0,Male,Manufacturing Director,Divorced,No,Y,4,46,1,706,2,Associates Degree,1,4,82,3,3,4,8578,19989,3,14,3,3,80,1,12,2,9,8,4,7,,
2606,No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-2607,3015.0,Male,Laboratory Technician,Divorced,No,Y,0,43,1,990,27,Bachelor's Degree,1,4,87,4,1,2,4876,5855,5,12,3,3,80,1,8,3,6,4,0,2,,
2607,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2608,3016.0,Male,Research Scientist,Divorced,No,Y,0,38,1,1206,9,Associates Degree,1,2,71,3,1,4,4771,14293,2,19,3,4,80,2,10,4,5,2,0,3,,
2608,No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-2609,3017.0,Male,Research Director,Divorced,No,Y,4,55,1,1136,1,Master's Degree,1,2,81,4,4,4,14732,12414,2,13,3,4,80,2,31,4,7,7,0,0,,
2609,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2610,3018.0,Male,Healthcare Representative,Divorced,No,Y,3,49,1,1490,7,Master's Degree,1,3,35,3,3,2,10466,20948,3,14,3,2,80,2,29,3,8,7,0,7,,
2610,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2611,3019.0,Male,Healthcare Representative,Divorced,No,Y,3,29,1,726,29,High School,1,4,93,1,2,3,6384,21143,8,17,3,4,80,2,11,3,7,0,1,6,,
2611,No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-2612,3020.0,Male,Laboratory Technician,Divorced,No,Y,3,27,1,1302,19,Bachelor's Degree,1,4,67,2,1,1,4066,16290,1,11,3,1,80,2,7,3,7,7,0,7,,
2612,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2613,3021.0,Male,Research Scientist,Divorced,No,Y,4,32,1,977,2,Bachelor's Degree,1,4,45,3,2,2,5470,25518,0,13,3,3,80,2,10,2,9,5,1,6,,
2613,No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-2614,3022.0,Male,Healthcare Representative,Divorced,No,Y,4,45,1,538,1,Master's Degree,1,1,66,3,3,2,7441,20933,1,12,3,1,80,3,10,3,10,8,7,7,,
2614,No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,STAFF-2615,3023.0,Male,Laboratory Technician,Divorced,No,Y,2,24,1,506,29,High School,1,2,91,3,1,1,3907,3622,1,13,3,2,80,3,6,4,6,2,1,2,,
2615,No,Travel_Rarely,Under 25,Current Employees,R&D,Technical Degree,STAFF-2616,3024.0,Male,Laboratory Technician,Divorced,No,Y,3,24,1,350,21,Associates Degree,1,3,57,2,1,1,2296,10036,0,14,3,2,80,3,2,3,1,1,0,0,,
2616,No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-2617,3025.0,Male,Research Scientist,Divorced,No,Y,2,39,1,835,19,Master's Degree,1,4,41,3,2,4,3902,5141,8,14,3,2,80,3,7,3,2,2,2,2,,
2617,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2618,3026.0,Male,Manager,Married,No,Y,2,42,1,300,2,Bachelor's Degree,1,1,56,3,5,3,18880,17312,5,11,3,1,80,0,24,2,22,6,4,14,,
2618,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2619,3027.0,Male,Research Scientist,Married,No,Y,2,37,1,674,13,Bachelor's Degree,1,1,47,3,2,4,4285,3031,1,17,3,1,80,0,10,3,10,8,3,7,,
2619,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2620,3028.0,Male,Laboratory Technician,Married,No,Y,3,27,1,1377,11,High School,1,2,91,3,1,1,2099,7679,0,14,3,2,80,0,6,4,5,0,1,4,,
2620,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2621,3029.0,Male,Research Scientist,Married,No,Y,2,35,1,819,18,Doctoral Degree,1,2,48,4,2,1,5208,26312,1,11,3,4,80,0,16,3,16,15,1,10,,
2621,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2622,3030.0,Male,Laboratory Technician,Married,No,Y,3,34,1,628,8,Bachelor's Degree,1,2,82,4,2,3,4404,10228,2,12,3,1,80,0,6,4,4,3,1,2,,
2622,No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-2623,3031.0,Male,Healthcare Representative,Married,No,Y,2,53,1,1395,24,Master's Degree,1,2,48,4,3,4,7005,3458,3,15,3,3,80,0,11,3,4,3,1,2,,
2623,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2624,3032.0,Male,Research Director,Married,No,Y,3,48,1,1224,10,Bachelor's Degree,1,4,91,2,5,2,19665,13583,4,12,3,4,80,0,29,3,22,10,12,9,,
2624,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2625,3033.0,Male,Laboratory Technician,Married,No,Y,6,30,1,911,1,Associates Degree,1,4,76,3,1,2,3748,4077,1,13,3,3,80,0,12,2,12,8,1,7,,
2625,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2626,3034.0,Male,Healthcare Representative,Married,No,Y,5,29,1,136,1,Bachelor's Degree,1,1,89,3,2,1,5373,6225,0,12,3,1,80,1,6,2,5,3,0,2,,
2626,No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-2627,3035.0,Male,Healthcare Representative,Married,No,Y,0,49,1,1495,5,Master's Degree,1,1,96,3,2,3,6651,21534,2,14,3,2,80,1,20,2,3,2,1,2,,
2627,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2628,3036.0,Male,Healthcare Representative,Married,No,Y,1,43,1,574,11,Bachelor's Degree,1,1,30,3,3,3,7510,16873,1,17,3,2,80,1,10,3,10,9,0,9,,
2628,No,Travel_Rarely,25 - 34,Current Employees,R&D,Technical Degree,STAFF-2629,3037.0,Male,Laboratory Technician,Married,No,Y,2,25,1,949,1,Bachelor's Degree,1,1,81,3,1,4,3229,4910,4,11,3,2,80,1,7,2,3,2,0,2,,
2629,No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-2630,3038.0,Male,Research Scientist,Married,No,Y,2,47,1,465,1,Bachelor's Degree,1,1,74,3,1,4,3420,10205,7,12,3,3,80,1,17,2,6,5,1,2,,
2630,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2631,3039.0,Male,Laboratory Technician,Married,No,Y,2,35,1,185,23,Master's Degree,1,2,91,1,1,3,2705,9696,0,16,3,2,80,1,6,4,5,4,0,3,,
2631,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2632,3040.0,Male,Research Scientist,Married,No,Y,3,30,1,241,7,Bachelor's Degree,1,2,48,2,1,2,2141,5348,1,12,3,2,80,1,6,2,6,4,1,1,,
2632,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2633,3041.0,Male,Laboratory Technician,Married,No,Y,3,34,1,1157,5,Associates Degree,1,2,57,2,2,4,3986,11912,1,14,3,3,80,1,15,4,15,10,4,13,,
2633,No,Travel_Rarely,25 - 34,Current Employees,R&D,Technical Degree,STAFF-2634,3042.0,Male,Research Scientist,Married,No,Y,3,27,1,1354,2,Master's Degree,1,2,41,3,1,2,2226,6073,1,11,3,3,80,1,6,2,5,3,1,2,,
2634,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2635,3043.0,Male,Laboratory Technician,Married,No,Y,2,31,1,741,2,Master's Degree,1,2,69,3,1,3,3477,18103,1,14,3,4,80,1,6,4,5,2,0,3,,
2635,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2636,3044.0,Male,Research Scientist,Married,No,Y,2,30,1,793,16,High School,1,2,33,3,1,4,2862,3811,1,12,3,2,80,1,10,2,10,0,0,8,,
2636,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2637,3045.0,Male,Research Scientist,Married,No,Y,3,34,1,1351,1,Master's Degree,1,2,45,3,2,4,5484,13008,9,17,3,2,80,1,9,2,2,2,2,1,,
2637,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2638,3046.0,Male,Healthcare Representative,Married,No,Y,5,44,1,170,1,Master's Degree,1,2,78,4,2,1,5033,9364,2,15,3,4,80,1,10,3,2,0,2,2,,
2638,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2639,3047.0,Male,Laboratory Technician,Married,No,Y,3,42,1,1210,2,Bachelor's Degree,1,3,68,2,1,2,4841,24052,4,14,3,2,80,1,4,3,1,0,0,0,,
2639,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2640,3048.0,Male,Laboratory Technician,Married,No,Y,5,35,1,1349,7,Associates Degree,1,3,63,2,1,4,2690,7713,1,18,3,4,80,1,1,2,1,0,0,1,,
2640,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2641,3049.0,Male,Research Director,Married,No,Y,3,42,1,1396,6,Bachelor's Degree,1,3,83,3,3,1,13348,14842,9,13,3,2,80,1,18,4,13,7,5,7,,
2641,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2642,3050.0,Male,Research Scientist,Married,No,Y,6,28,1,1181,1,Bachelor's Degree,1,3,82,3,1,4,2044,5531,1,11,3,3,80,1,5,4,5,3,0,3,,
2642,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2643,3051.0,Male,Healthcare Representative,Married,No,Y,3,30,1,305,16,Bachelor's Degree,1,3,58,4,2,3,5294,9128,3,16,3,3,80,1,10,3,7,0,1,7,,
2643,No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,STAFF-2644,3052.0,Male,Research Scientist,Married,No,Y,1,24,1,581,9,Bachelor's Degree,1,3,62,4,1,3,4401,17616,1,16,3,4,80,1,5,3,5,3,0,4,,
2644,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2645,3053.0,Male,Healthcare Representative,Married,No,Y,5,39,1,613,6,High School,1,4,42,2,3,1,9991,21457,4,15,3,1,80,1,9,3,7,7,1,7,,
2645,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2646,3054.0,Male,Research Director,Married,No,Y,1,44,1,136,28,Bachelor's Degree,1,4,32,3,4,1,16328,22074,3,13,3,3,80,1,24,4,20,6,14,17,,
2646,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2647,3055.0,Male,Manufacturing Director,Married,No,Y,3,35,1,1370,27,Master's Degree,1,4,49,3,2,3,6883,5151,2,16,3,2,80,1,17,3,7,7,0,7,,
2647,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2648,3056.0,Male,Research Scientist,Married,No,Y,1,33,1,867,8,Master's Degree,1,4,90,4,1,1,3143,6076,6,19,3,2,80,1,14,3,10,8,7,6,,
2648,No,Travel_Rarely,Under 25,Current Employees,R&D,Technical Degree,STAFF-2649,3057.0,Male,Research Scientist,Married,No,Y,2,23,1,977,10,Bachelor's Degree,1,4,45,4,1,3,2073,12826,2,16,3,4,80,1,4,3,2,2,2,2,,
2649,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2650,3058.0,Male,Healthcare Representative,Married,No,Y,2,36,1,1351,26,Master's Degree,1,1,80,3,2,3,5347,7419,6,14,3,2,80,2,10,2,3,2,0,2,,
2650,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2651,3059.0,Male,Laboratory Technician,Married,No,Y,3,40,1,543,1,Master's Degree,1,1,83,3,1,4,2406,4060,8,19,3,3,80,2,8,2,1,0,0,0,,
2651,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2652,3060.0,Male,Healthcare Representative,Married,No,Y,2,42,1,1128,13,Bachelor's Degree,1,2,95,4,2,1,5538,5696,5,18,3,3,80,2,10,2,0,0,0,0,,
2652,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2653,3061.0,Male,Laboratory Technician,Married,No,Y,3,35,1,750,28,Bachelor's Degree,1,2,46,4,2,3,3407,25348,1,17,3,4,80,2,10,2,10,9,6,8,,
2653,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2654,3062.0,Male,Manufacturing Director,Married,No,Y,2,28,1,1083,29,High School,1,3,96,1,2,2,6549,3173,1,14,3,2,80,2,8,2,8,6,1,7,,
2654,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2655,3063.0,Male,Research Scientist,Married,No,Y,2,29,1,598,9,Bachelor's Degree,1,3,91,4,1,3,2451,22376,6,18,3,1,80,2,5,2,1,0,0,0,,
2655,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2656,3064.0,Male,Manufacturing Director,Married,No,Y,3,39,1,1387,10,Doctoral Degree,1,2,76,3,2,1,5377,3835,2,13,3,4,80,3,10,3,7,7,7,7,,
2656,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2657,3065.0,Male,Laboratory Technician,Married,No,Y,6,33,1,267,21,Bachelor's Degree,1,2,79,4,1,2,2028,13637,1,18,3,4,80,3,14,3,14,11,2,13,,
2657,No,Travel_Rarely,Over 55,Current Employees,R&D,Medical,STAFF-2658,3066.0,Male,Research Director,Married,No,Y,2,55,1,478,2,Bachelor's Degree,1,3,60,2,5,1,19038,19805,8,12,3,2,80,3,34,3,1,0,0,0,,
2658,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2659,3067.0,Male,Manufacturing Director,Married,No,Y,2,37,1,671,19,Bachelor's Degree,1,3,85,3,2,3,5768,26493,3,17,3,1,80,3,9,2,4,3,0,2,,
2659,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2660,3068.0,Male,Laboratory Technician,Married,No,Y,3,26,1,390,17,Master's Degree,1,4,62,1,1,3,2305,6217,1,15,3,3,80,3,3,4,3,2,0,2,,
2660,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2661,3069.0,Male,Laboratory Technician,Single,No,Y,2,36,1,172,4,Master's Degree,1,1,37,2,2,4,5810,22604,1,16,3,3,80,0,10,2,10,4,1,8,,
2661,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2662,3070.0,Male,Laboratory Technician,Single,No,Y,4,36,1,311,7,Bachelor's Degree,1,1,77,3,1,2,2013,10950,2,11,3,3,80,0,15,3,4,3,1,3,,
2662,No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-2663,3071.0,Male,Laboratory Technician,Single,No,Y,2,23,1,507,20,High School,1,1,97,3,2,3,2272,24812,0,14,3,2,80,0,5,3,4,3,1,2,,
2663,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2664,3072.0,Male,Research Scientist,Single,No,Y,4,34,1,479,7,Master's Degree,1,1,35,3,1,4,2972,22061,1,13,3,3,80,0,1,1,1,0,0,0,,
2664,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2665,3073.0,Male,Research Scientist,Single,No,Y,2,39,1,116,24,High School,1,1,52,3,2,4,4108,5340,7,13,3,1,80,0,18,3,7,7,1,7,,
2665,No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-2666,3074.0,Male,Healthcare Representative,Single,No,Y,2,24,1,771,1,Associates Degree,1,2,45,2,2,3,4617,14120,1,12,3,2,80,0,4,2,4,3,1,2,,
2666,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2667,3075.0,Male,Research Scientist,Single,No,Y,5,35,1,1395,9,Master's Degree,1,2,48,3,2,3,5098,18698,1,19,3,2,80,0,10,3,10,7,0,8,,
2667,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2668,3076.0,Male,Healthcare Representative,Single,No,Y,3,41,1,447,5,Bachelor's Degree,1,2,85,4,2,2,6870,15530,3,12,3,1,80,0,11,1,3,2,1,2,,
2668,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2669,3077.0,Male,Research Scientist,Single,No,Y,2,40,1,1322,2,Master's Degree,1,3,52,2,1,3,2809,2725,2,14,3,4,80,0,8,3,2,2,2,2,,
2669,No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2670,3078.0,Male,Laboratory Technician,Single,No,Y,6,26,1,157,1,Bachelor's Degree,1,3,95,3,1,1,2867,20006,0,13,3,4,80,0,8,2,7,7,7,6,,
2670,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2671,3079.0,Male,Healthcare Representative,Single,No,Y,3,46,1,717,13,Master's Degree,1,3,34,3,2,2,5562,9697,6,14,3,4,80,0,19,3,10,7,0,9,,
2671,No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-2672,3080.0,Male,Manager,Single,No,Y,2,49,1,809,1,Bachelor's Degree,1,3,36,3,4,3,15379,22384,4,14,3,1,80,0,23,3,8,7,0,0,,
2672,No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,STAFF-2673,3081.0,Male,Research Scientist,Single,No,Y,2,21,1,546,5,High School,1,3,97,3,1,4,3117,26009,1,18,3,3,80,0,3,3,2,2,2,2,,
2673,No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-2674,3082.0,Male,Laboratory Technician,Single,No,Y,2,26,1,652,7,Bachelor's Degree,1,3,100,4,1,1,3578,23577,0,12,3,4,80,0,8,3,7,7,0,7,,
2674,No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-2675,3083.0,Male,Laboratory Technician,Single,No,Y,3,35,1,992,1,Bachelor's Degree,1,4,68,2,1,1,2450,21731,1,19,3,2,80,0,3,3,3,0,1,2,,
2675,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2676,3084.0,Male,Manufacturing Director,Single,No,Y,2,33,1,575,25,Bachelor's Degree,1,4,44,2,2,2,4320,24152,1,13,3,4,80,0,5,3,5,3,0,2,,
2676,No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2677,3085.0,Male,Laboratory Technician,Single,No,Y,2,29,1,592,7,Bachelor's Degree,1,4,59,3,1,1,2062,19384,3,14,3,2,80,0,11,3,3,2,1,2,,
2677,No,Travel_Rarely,25 - 34,Current Employees,R&D,Technical Degree,STAFF-2678,3086.0,Male,Research Scientist,Single,No,Y,4,32,1,529,2,Bachelor's Degree,1,4,78,3,1,1,2439,11288,1,14,3,4,80,0,4,3,4,2,1,2,,
2678,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2679,3087.0,Male,Research Scientist,Single,No,Y,3,44,1,1467,20,Bachelor's Degree,1,4,49,3,1,2,3420,21158,1,13,3,3,80,0,6,2,5,2,1,3,,
2679,No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2680,3088.0,Male,Laboratory Technician,Single,No,Y,3,42,1,1142,8,Bachelor's Degree,1,4,81,3,1,3,3968,13624,4,13,3,4,80,0,8,3,0,0,0,0,,
2680,No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-2681,3089.0,Male,Research Scientist,Single,No,Y,2,22,1,581,1,Associates Degree,1,4,63,3,1,3,3375,17624,0,12,3,4,80,0,4,4,3,2,1,2,,
2681,No,Travel_Rarely,Under 25,Current Employees,R&D,Other,STAFF-2682,3090.0,Male,Laboratory Technician,Single,No,Y,6,23,1,571,12,Associates Degree,1,4,78,3,1,4,2647,13672,1,13,3,3,80,0,5,4,5,2,1,4,,
2682,No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-2683,3091.0,Male,Research Director,Single,No,Y,2,53,1,447,2,Bachelor's Degree,1,4,39,4,4,2,16598,19764,4,12,3,2,80,0,35,2,9,8,8,8,,
2683,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-2684,3092.0,Male,Sales Executive,Divorced,No,Y,5,31,1,326,8,Associates Degree,1,1,31,3,3,4,10793,8386,1,18,3,1,80,1,13,3,13,7,9,9,,
2684,No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-2685,3093.0,Male,Sales Executive,Divorced,No,Y,2,30,1,979,15,Associates Degree,1,3,94,2,3,1,7140,3088,2,11,3,1,80,1,12,3,7,7,1,7,,
2685,No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,STAFF-2686,3094.0,Male,Sales Executive,Divorced,No,Y,5,41,1,930,3,Bachelor's Degree,1,3,57,2,2,2,8938,12227,2,11,3,3,80,1,14,3,5,4,0,4,,
2686,No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-2687,3095.0,Male,Sales Executive,Divorced,No,Y,2,34,1,1239,13,Master's Degree,1,4,39,3,3,3,8628,22914,1,18,3,3,80,1,9,2,8,7,1,1,,
2687,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-2688,3096.0,Male,Sales Executive,Divorced,No,Y,3,29,1,1246,19,Bachelor's Degree,1,3,77,2,2,3,8620,23757,1,14,3,3,80,2,10,3,10,7,0,4,,
2688,No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-2689,3097.0,Male,Sales Executive,Divorced,No,Y,5,33,1,392,2,Master's Degree,1,4,93,3,2,4,5505,3921,1,14,3,3,80,2,6,3,6,2,0,4,,
2689,No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-2690,3098.0,Male,Sales Executive,Divorced,No,Y,3,48,1,1221,7,Bachelor's Degree,1,3,96,3,2,1,5486,24795,4,11,3,1,80,3,15,3,2,2,2,2,,
2690,No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-2691,3099.0,Male,Sales Executive,Married,No,Y,5,40,1,1342,9,Associates Degree,1,1,47,3,2,1,5473,19345,0,12,3,4,80,0,9,4,8,4,7,1,,
2691,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-2692,3100.0,Male,Sales Executive,Married,No,Y,6,33,1,1242,8,Master's Degree,1,1,46,3,2,1,6392,10589,2,13,3,4,80,1,8,1,2,2,2,2,,
2692,No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-2693,3101.0,Male,Sales Representative,Married,No,Y,1,31,1,1154,2,Associates Degree,1,1,54,3,1,3,3067,6393,0,19,3,3,80,1,3,3,2,2,1,2,,
2693,No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-2694,3102.0,Male,Sales Executive,Married,No,Y,3,31,1,1003,5,Bachelor's Degree,1,1,51,3,2,3,8346,20943,1,19,3,3,80,1,6,3,5,2,0,2,,
2694,No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-2695,3103.0,Male,Sales Representative,Married,No,Y,2,32,1,234,1,Master's Degree,1,2,68,2,1,2,2269,18024,0,14,3,2,80,1,3,3,2,2,2,2,,
2695,No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-2696,3104.0,Male,Sales Executive,Married,No,Y,2,35,1,682,18,Master's Degree,1,2,71,3,2,1,5561,15975,0,16,3,4,80,1,6,1,5,3,0,4,,
2696,No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-2697,3105.0,Male,Sales Executive,Married,No,Y,3,30,1,1288,29,Master's Degree,1,3,33,3,3,2,9250,17799,3,12,3,2,80,1,9,3,4,2,1,3,,
2697,No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,STAFF-2698,3106.0,Male,Sales Executive,Married,No,Y,3,38,1,1245,14,Bachelor's Degree,1,3,80,3,2,2,9924,12355,0,11,3,4,80,1,10,3,9,8,7,7,,
